Age,DBH_Est,Leaf,LeaflessAGB,StumpRoot,Biomass_Est,CI,Biomass_CI_Lower,Biomass_CI_Upper
23.75,23.0766,4.918,320.644,56.8196,382.3816,24.614,357.7676,406.9956
24.0,23.1108,4.9363,321.968,57.0278,383.9321,25.244,358.688,409.1761
24.25,23.1437,4.9538,323.246,57.2286,385.4285,25.877,359.5515,411.3054
24.5,23.1754,4.9708,324.4793,57.4224,386.8725,26.5114,360.3611,413.3839
24.75,23.2059,4.9872,325.6694,57.6093,388.2659,27.1461,361.1198,415.412
25.0,23.2353,5.003,326.8177,57.7895,389.6101,27.7798,361.8303,417.39
25.25,23.2635,5.0182,327.9254,57.9633,390.9069,28.4115,362.4953,419.3184
25.5,23.2907,5.0329,328.9938,58.1309,392.1576,29.0403,363.1173,421.1979
25.75,23.3169,5.047,330.0244,58.2925,393.3639,29.6652,363.6986,423.0291
26.0,23.3421,5.0607,331.0181,58.4483,394.5271,30.2856,364.2415,424.8126
26.25,23.3664,5.0738,331.9764,58.5984,395.6486,30.9005,364.7481,426.5491
26.5,23.3897,5.0865,332.9003,58.7431,396.7299,31.5095,365.2205,428.2394
26.75,23.4122,5.0987,333.791,58.8826,397.7724,32.1119,365.6605,429.8843
27.0,23.4338,5.1105,334.6497,59.017,398.7772,32.7072,366.0699,431.4844
27.25,23.4546,5.1218,335.4773,59.1465,399.7456,33.2951,366.4506,433.0407
27.5,23.4747,5.1328,336.2749,59.2713,400.679,33.875,366.8041,434.554
27.75,23.4939,5.1433,337.0436,59.3916,401.5785,34.4466,367.1319,436.0251
28.0,23.5125,5.1535,337.7844,59.5074,402.4452,35.0096,367.4357,437.4548
28.25,23.5303,5.1632,338.4981,59.619,403.2804,35.5638,367.7166,438.8441
28.5,23.5475,5.1727,339.1858,59.7265,404.085,36.1089,367.9761,440.1938
28.75,23.564,5.1817,339.8484,59.83,404.8601,36.6447,368.2154,441.5048
29.0,23.5799,5.1905,340.4866,59.9297,405.6068,37.1711,368.4357,442.7779
29.25,23.5952,5.1989,341.1015,60.0258,406.3261,37.6879,368.6382,444.014
29.5,23.6099,5.207,341.6937,60.1182,407.0189,38.1951,368.8238,445.214
29.75,23.624,5.2148,342.2641,60.2073,407.6862,38.6926,368.9936,446.3788
30.0,23.6377,5.2223,342.8134,60.2931,408.3288,39.1803,369.1485,447.5091
30.25,23.6508,5.2295,343.3425,60.3756,408.9477,39.6582,369.2895,448.6058
30.5,23.6634,5.2365,343.8519,60.4551,409.5436,40.1262,369.4174,449.6698
30.75,23.6755,5.2432,344.3425,60.5317,410.1175,40.5845,369.533,450.702
31.0,23.6872,5.2497,344.8149,60.6054,410.67,41.033,369.637,451.703
31.25,23.6984,5.2559,345.2698,60.6763,411.202,41.4717,369.7303,452.6737
31.5,23.7092,5.2619,345.7077,60.7446,411.7142,41.9007,369.8135,453.615
31.75,23.7196,5.2676,346.1293,60.8104,412.2074,42.3202,369.8872,454.5275
32.0,23.7295,5.2732,346.5352,60.8737,412.6821,42.73,369.9521,455.4121
32.25,23.7392,5.2785,346.926,60.9346,413.1391,43.1305,370.0087,456.2696
32.5,23.7484,5.2837,347.3021,60.9932,413.579,43.5215,370.0575,457.1006
32.75,23.7573,5.2886,347.6642,61.0497,414.0025,43.9033,370.0992,457.9058
33.0,23.7659,5.2934,348.0128,61.104,414.4101,44.2759,370.1342,458.6861
33.25,23.7741,5.298,348.3482,61.1563,414.8025,44.6396,370.1629,459.442
33.5,23.782,5.3024,348.6711,61.2066,415.1801,44.9943,370.1858,460.1743
33.75,23.7896,5.3066,348.9819,61.255,415.5435,45.3402,370.2033,460.8837
34.0,23.7969,5.3107,349.281,61.3016,415.8933,45.6775,370.2158,461.5708
34.25,23.804,5.3146,349.5689,61.3464,416.2299,46.0063,370.2236,462.2362
34.5,23.8108,5.3184,349.8459,61.3896,416.5539,46.3267,370.2272,462.8805
34.75,23.8173,5.322,350.1125,61.4311,416.8656,46.6389,370.2267,463.5045
35.0,23.8235,5.3255,350.3691,61.471,417.1656,46.943,370.2226,464.1086
