Age,DBH_Est,Stem,Branch,Leaf,Root,Biomass_Est,CI,Biomass_CI_Lower,Biomass_CI_Upper
25.75,23.3532,191.2262,143.6821,7.9565,29.7939,372.6586,24.3259,348.3327,396.9845
26.0,23.381,191.7388,144.154,7.9648,29.8645,373.7221,24.8294,348.8927,398.5515
26.25,23.4078,192.2345,144.6108,7.9728,29.9328,374.7509,25.3296,349.4213,400.0805
26.5,23.4338,192.7139,145.0527,7.9806,29.9989,375.746,25.8262,349.9199,401.5722
26.75,23.4588,193.1774,145.4803,7.9881,30.0627,376.7085,26.3186,350.39,403.0271
27.0,23.483,193.6256,145.894,7.9953,30.1244,377.6394,26.8064,350.833,404.4458
27.25,23.5063,194.059,146.2942,8.0023,30.1841,378.5396,27.2894,351.2502,405.8289
27.5,23.5289,194.478,146.6813,8.0091,30.2417,379.4101,27.7671,351.643,407.1772
27.75,23.5507,194.8831,147.0557,8.0156,30.2974,380.2518,28.2393,352.0125,408.4911
28.0,23.5717,195.2747,147.4178,8.0219,30.3513,381.0657,28.7057,352.36,409.7714
28.25,23.592,195.6533,147.768,8.028,30.4034,381.8526,29.1661,352.6865,411.0187
28.5,23.6116,196.0192,148.1067,8.0339,30.4537,382.6134,29.6203,352.9931,412.2337
28.75,23.6305,196.3729,148.4342,8.0395,30.5023,383.3489,30.0681,353.2807,413.417
29.0,23.6488,196.7148,148.7508,8.045,30.5493,384.0598,30.5094,353.5504,414.5692
29.25,23.6665,197.0452,149.057,8.0503,30.5947,384.7471,30.944,353.8031,415.6911
29.5,23.6835,197.3645,149.353,8.0554,30.6385,385.4114,31.3718,354.0396,416.7832
29.75,23.6999,197.6731,149.6392,8.0603,30.6809,386.0535,31.7927,354.2608,417.8462
30.0,23.7158,197.9714,149.9158,8.065,30.7219,386.6741,32.2067,354.4674,418.8808
30.25,23.7312,198.2596,150.1832,8.0696,30.7614,387.2739,32.6137,354.6602,419.8876
30.5,23.746,198.5381,150.4418,8.0741,30.7997,387.8535,33.0136,354.8399,420.8672
30.75,23.7603,198.8072,150.6916,8.0783,30.8366,388.4137,33.4065,355.0072,421.8202
31.0,23.7741,199.0672,150.9331,8.0825,30.8723,388.9551,33.7922,355.1628,422.7473
31.25,23.7874,199.3184,151.1665,8.0865,30.9068,389.4782,34.1709,355.3073,423.6491
31.5,23.8003,199.5612,151.3921,8.0903,30.9401,389.9837,34.5424,355.4413,424.5261
31.75,23.8127,199.7957,151.6101,8.094,30.9722,390.4721,34.9068,355.5653,425.3789
