Age,DBH_Est,Leaf,LeaflessAGB,StumpRoot,Biomass_Est,CI,Biomass_CI_Lower,Biomass_CI_Upper
22.25,22.8427,4.7944,311.6819,55.4078,371.8842,20.8651,351.019,392.7493
22.5,22.888,4.8182,313.4033,55.6794,373.9008,21.4325,352.4683,395.3333
22.75,22.9317,4.8412,315.0717,55.9424,375.8553,22.013,353.8423,397.8683
23.0,22.9739,4.8635,316.6887,56.1971,377.7494,22.6046,355.1447,400.354
23.25,23.0147,4.8851,318.2556,56.4438,379.5846,23.2057,356.3788,402.7903
23.5,23.0541,4.906,319.7738,56.6827,381.3625,23.8147,357.5478,405.1772
23.75,23.0921,4.9263,321.2444,56.914,383.0848,24.43,358.6548,407.5147
24.0,23.1288,4.9459,322.669,57.138,384.7529,25.0501,359.7028,409.803
24.25,23.1643,4.9649,324.0487,57.3548,386.3683,25.6738,360.6945,412.0422
24.5,23.1986,4.9833,325.3848,57.5646,387.9326,26.2999,361.6327,414.2326
24.75,23.2317,5.0011,326.6785,57.7677,389.4472,26.9272,362.52,416.3745
25.0,23.2637,5.0183,327.9311,57.9642,390.9136,27.5547,363.3589,418.4683
25.25,23.2945,5.0349,329.1437,58.1544,392.333,28.1815,364.1516,420.5145
25.5,23.3244,5.0511,330.3175,58.3384,393.707,28.8065,364.9004,422.5135
25.75,23.3532,5.0666,331.4536,58.5165,395.0367,29.4292,365.6075,424.4659
26.0,23.381,5.0817,332.5531,58.6887,396.3236,30.0487,366.2749,426.3723
26.25,23.4078,5.0963,333.6171,58.8554,397.5688,30.6643,366.9045,428.2332
26.5,23.4338,5.1105,334.6467,59.0166,398.7738,31.2756,367.4982,430.0493
26.75,23.4588,5.1241,335.6429,59.1725,399.9395,31.8818,368.0577,431.8213
27.0,23.483,5.1373,336.6067,59.3232,401.0673,32.4825,368.5848,433.5498
27.25,23.5063,5.1501,337.5391,59.469,402.1583,33.0773,369.081,435.2355
27.5,23.5289,5.1625,338.441,59.6101,403.2136,33.6657,369.5478,436.8793
27.75,23.5507,5.1744,339.3134,59.7464,404.2343,34.2474,369.9868,438.4817
28.0,23.5717,5.186,340.1572,59.8783,405.2214,34.8221,370.3993,440.0435
28.25,23.592,5.1971,340.9732,60.0057,406.1761,35.3895,370.7866,441.5656
28.5,23.6116,5.2079,341.7624,60.129,407.0993,35.9493,371.15,443.0486
28.75,23.6305,5.2184,342.5256,60.2481,407.9921,36.5013,371.4908,444.4933
29.0,23.6488,5.2285,343.2635,60.3633,408.8552,37.0453,371.81,445.9005
29.25,23.6665,5.2382,343.9769,60.4747,409.6898,37.5811,372.1087,447.2709
29.5,23.6835,5.2477,344.6668,60.5823,410.4967,38.1087,372.388,448.6054
29.75,23.6999,5.2568,345.3337,60.6863,411.2768,38.6278,372.649,449.9046
30.0,23.7158,5.2656,345.9784,60.7869,412.0309,39.1384,372.8924,451.1693
30.25,23.7312,5.2741,346.6017,60.884,412.7598,39.6404,373.1194,452.4002
30.5,23.746,5.2823,347.2041,60.978,413.4644,40.1338,373.3306,453.5982
30.75,23.7603,5.2903,347.7865,61.0687,414.1455,40.6185,373.527,454.7639
31.0,23.7741,5.298,348.3493,61.1564,414.8037,41.0944,373.7093,455.8982
31.25,23.7874,5.3054,348.8934,61.2412,415.44,41.5616,373.8783,457.0016
31.5,23.8003,5.3126,349.4191,61.3231,416.0548,42.0201,374.0347,458.0749
31.75,23.8127,5.3195,349.9273,61.4022,416.649,42.4699,374.1792,459.1189
32.0,23.8248,5.3262,350.4183,61.4787,417.2233,42.9109,374.3123,460.1342
32.25,23.8363,5.3327,350.8929,61.5526,417.7782,43.3434,374.4348,461.1215
32.5,23.8475,5.339,351.3514,61.624,418.3144,43.7672,374.5472,462.0815
32.75,23.8583,5.345,351.7945,61.6929,418.8325,44.1824,374.6501,463.0149
33.0,23.8688,5.3508,352.2227,61.7596,419.3331,44.5892,374.744,463.9223
33.25,23.8788,5.3565,352.6364,61.824,419.8168,44.9875,374.8293,464.8043
33.5,23.8886,5.3619,353.0361,61.8861,420.2842,45.3775,374.9067,465.6616
33.75,23.8979,5.3672,353.4223,61.9462,420.7357,45.7592,374.9766,466.4949
34.0,23.907,5.3723,353.7954,62.0043,421.172,46.1327,375.0393,467.3046
34.25,23.9158,5.3772,354.1559,62.0603,421.5934,46.4981,375.0953,468.0915
34.5,23.9242,5.382,354.5041,62.1145,422.0006,46.8555,375.145,468.8561
34.75,23.9324,5.3865,354.8406,62.1668,422.3939,47.2051,375.1888,469.599
35.0,23.9402,5.391,355.1656,62.2173,422.7739,47.5468,375.227,470.3207
