Age,DBH_Est,Leaf,LeaflessAGB,StumpRoot,Biomass_Est,CI,Biomass_CI_Lower,Biomass_CI_Upper
30.75,24.4194,5.6647,375.3043,65.3387,446.3076,38.4368,407.8708,484.7445
31.0,24.4534,5.6844,376.7603,65.5636,448.0082,38.9526,409.0557,486.9608
31.25,24.4869,5.7039,378.1986,65.7857,449.6882,39.4658,410.2223,489.154
31.5,24.5199,5.7231,379.6197,66.005,451.3478,39.9766,411.3713,491.3244
31.75,24.5525,5.7421,381.0238,66.2216,452.9875,40.4847,412.5028,493.4722
32.0,24.5846,5.7609,382.4111,66.4356,454.6076,40.9902,413.6174,495.5979
32.25,24.6162,5.7794,383.7821,66.6469,456.2085,41.4931,414.7154,497.7015
32.5,24.6474,5.7978,385.1369,66.8557,457.7904,41.9932,415.7971,499.7836
32.75,24.6781,5.8159,386.4758,67.062,459.3536,42.4906,416.863,501.8443
33.0,24.7085,5.8337,387.7992,67.2657,460.8986,42.9853,417.9134,503.8839
33.25,24.7384,5.8514,389.1072,67.4671,462.4257,43.4772,418.9485,505.9028
33.5,24.7679,5.8689,390.4002,67.666,463.935,43.9662,419.9688,507.9012
33.75,24.797,5.8861,391.6783,67.8626,465.427,44.4525,420.9745,509.8794
34.0,24.8257,5.9032,392.9418,68.0568,466.9018,44.9359,421.966,511.8377
34.25,24.854,5.92,394.1911,68.2488,468.3599,45.4164,422.9435,513.7763
34.5,24.882,5.9367,395.4262,68.4386,469.8015,45.8941,423.9074,515.6955
34.75,24.9096,5.9531,396.6475,68.6262,471.2267,46.3689,424.8579,517.5956
35.0,24.9368,5.9694,397.8551,68.8116,472.6361,46.8408,425.7953,519.4768
